Two-Faced Woman,0034328,1941,2,1,0
Little Foxes The,0033836,1941,2,1,0
Wolf Man The,0034398,1941,2,0,0
Suspicion,0034248,1941,3,0,0
For Me and My Gal,0034746,1942,3,1,0
Man Who Came to Dinner The,0033874,1942,3,1,0
Woman of the Year,0035567,1942,3,0,0
Sherlock Holmes and the Secret Weapon,0035317,1942,1,0,0
Saludos Amigos,0036326,1942,0,0,0
There Was a Father,0034591,1942,0,0,0
Magnificent Ambersons The,0035015,1942,2,0,0
Cat People,0034587,1942,3,1,0
I Married an Angel,0034882,1942,3,1,0
Major and the Minor The,0035019,1942,3,1,0
To Be or Not to Be,0035446,1942,0,1,0
Tales of Manhattan,0035415,1942,2,0,0
Black Dragons,0034521,1942,0,0,0
Now Voyager,0035140,1942,3,1,0
Casablanca,0034583,1942,1,0,0
Bambi,0034492,1942,1,0,0
Mrs. Miniver,0035093,1942,3,1,0
Son of Fury: The Story of Benjamin Blake,0035360,1942,1,0,0
Corpse Vanishes The,0034613,1942,1,0,0
Saboteur,0035279,1942,1,1,0
Guadalcanal Diary,0035957,1943,0,0,0
Life and Death of Colonel Blimp The,0036112,1943,2,0,0
Girl Crazy,0035942,1943,1,0,0
Tender Comrade,0036418,1943,3,1,0
Le Corbeau: The Raven,0035753,1943,3,0,0
Watch on the Rhine,0036515,1943,3,1,0
Fires Were Started,0035881,1943,0,0,0
Seventh Victim The,0036341,1943,3,1,0
So Proudly We Hail!,0036367,1943,3,1,0
I Walked with a Zombie,0036027,1943,3,1,0
Sky&#39;s the Limit The,0036363,1943,1,0,0
Sahara,0036323,1943,0,0,0
Old Acquaintance,0036230,1943,3,1,0
Day of Wrath,0036506,1943,3,0,0
Ox-Bow Incident The,0036244,1943,1,0,0
More the Merrier The,0036172,1943,1,1,0
Angels of Sin,0035636,1943,3,0,0
Jane Eyre,0036969,1943,3,0,0
Shadow of a Doubt,0036342,1943,3,1,0
Judo Saga (Sanshiro Sugata),0036400,1943,0,0,0
Cry &#39;Havoc&#39;,0035770,1943,3,1,0
La main du diable,0035017,1943,1,0,0
Hail the Conquering Hero,0036891,1944,2,0,0
Torment,0036914,1944,0,0,0
Since You Went Away,0037280,1944,3,1,0
Double Indemnity,0036775,1944,3,0,0
I&#39;ll Be Seeing You,0036940,1944,3,1,0
Three Caballeros The,0038166,1944,0,0,0
A Canterbury Tale,0036695,1944,3,0,0
To Have and Have Not,0037382,1944,3,0,0
Lifeboat,0037017,1944,3,1,0
Minstrel Man,0037076,1944,1,0,0
Laura,0037008,1944,3,1,0
National Velvet,0037120,1944,3,0,0
Arsenic and Old Lace,0036613,1944,3,0,0
Meet Me in St. Louis,0037059,1944,3,1,0
Cover Girl,0036723,1944,3,1,0
Mr. Skeffington,0037094,1944,2,1,0
Most Beautiful (Ichiban utsukushiku) The,0036947,1944,3,0,0
Window in the Window,0037469,1944,1,0,0
Isle of the Dead,0037820,1945,3,0,0
Lost Weekend The,0037884,1945,2,0,0
Mildred Pierce,0037913,1945,3,1,0
Les dames du Bois de Boulogne,0037630,1945,3,0,0
Thin Man Goes Home,0037365,1945,2,0,0
Keep Your Powder Dry,0037843,1945,3,1,0
Spellbound,0038109,1945,3,1,0
Enchanted Cottage The,0037671,1945,3,1,0
Scarlet Street,0038057,1945,3,0,0
Detour,0037638,1945,1,0,0
I Know Where I&#39;m Going,0037800,1945,3,1,0
Dead of Night,0037635,1945,3,0,0
Seventh Veil The,0038924,1945,3,0,0
Children of Paradise,0037674,1945,2,0,0
Red Dragon The,0038017,1945,1,0,0
Along Came Jones,0037508,1945,0,0,0
Objective Burma!,0037954,1945,0,0,0
Rome Open City,0038890,1945,3,0,0
Brief Encounter,0037558,1945,3,1,0
Woman in Green The,0038259,1945,3,0,0
Anchors Aweigh,0037514,1945,0,0,0
Postman Always Rings Twice The,0038854,1946,1,1,0
Harvey Girls The,0038589,1946,3,1,0
Stranger The,0038991,1946,3,0,0
Terror by Night,0039017,1946,1,0,0
Song of the South,0038969,1946,2,1,0
Notorious,0038787,1946,2,0,0
Strange Woman The,0038990,1946,3,1,0
Best Years of Our Lives The,0036868,1946,2,0,0
Dark Corner The,0038453,1946,1,1,0
Jolson Story The,0038661,1946,1,0,0
Beauty and the Beast,0038348,1946,3,0,0
Deception,0038461,1946,0,1,0
